(I've		:	[Hello.lrc, 7]   
of		:	[Hello.lrc, 5]   [Remedy.lrc, 2]   
oo		:	[Hello.lrc, 6]   [Remedy.lrc, 4]   
ooh		:	[Hello.lrc, 10]   
ooh..		:	[Hello.lrc, 7]   
oooh		:	[Hello.lrc, 6]   [Remedy.lrc, 4]   
or		:	[Hello.lrc, 6]   [Remedy.lrc, 2]   
other		:	[Hello.lrc, 6]   
our		:	[Hello.lrc, 3]   
out		:	[Hello.lrc, 7]   [Remedy.lrc, 1]   
outside		:	[Hello.lrc, 7]   
over		:	[Hello.lrc, 2]   
pain		:	[Hello.lrc, 10]   [Remedy.lrc, 4]   
promise		:	[Hello.lrc, 12]   [Remedy.lrc, 8]   
rain		:	[Hello.lrc, 10]   [Remedy.lrc, 6]   
remedy		:	[Hello.lrc, 6]   [Remedy.lrc, 5]   
remember		:	[Hello.lrc, 12]   [Remedy.lrc, 1]   
river		:	[Hello.lrc, 6]   [Remedy.lrc, 2]   
running		:	[Hello.lrc, 4]   
saw		:	[Hello.lrc, 12]   [Remedy.lrc, 4]   
say		:	[Hello.lrc, 5]   
scars		:	[Hello.lrc, 7]   [Remedy.lrc, 2]   
secret		:	[Hello.lrc, 3]   
see		:	[Hello.lrc, 16]   [Remedy.lrc, 8]   
seem		:	[Hello.lrc, 6]   
seems		:	[Hello.lrc, 3]   [Remedy.lrc, 4]   
shelter		:	[Hello.lrc, 10]   [Remedy.lrc, 5]   
side		:	[Hello.lrc, 6]   
side)		:	[Hello.lrc, 6]   
sleeping		:	[Hello.lrc, 9]   [Remedy.lrc, 3]   
so		:	[Hello.lrc, 2]   [Remedy.lrc, 3]   
sorry		:	[Hello.lrc, 9]   
story		:	[Hello.lrc, 7]   [Remedy.lrc, 2]   
such		:	[Hello.lrc, 3]   
supposed		:	[Hello.lrc, 2]   
swim		:	[Hello.lrc, 14]   [Remedy.lrc, 5]   
talk		:	[Hello.lrc, 8]   
tear		:	[Hello.lrc, 7]   
tell		:	[Hello.lrc, 10]   
that		:	[Hello.lrc, 11]   [Remedy.lrc, 2]   
the		:	[Hello.lrc, 10]   [Remedy.lrc, 12]   
these		:	[Hello.lrc, 1]   
things		:	[Hello.lrc, 10]   [Remedy.lrc, 1]   
thought		:	[Hello.lrc, 12]   [Remedy.lrc, 2]   
thousand		:	[Hello.lrc, 9]   
through		:	[Hello.lrc, 10]   [Remedy.lrc, 6]   
time		:	[Hello.lrc, 5]   
time's		:	[Hello.lrc, 2]   
times		:	[Hello.lrc, 7]   
times)		:	[Hello.lrc, 8]   
to		:	[Hello.lrc, 14]   [Remedy.lrc, 6]   
too		:	[Hello.lrc, 6]   [Remedy.lrc, 3]   
town		:	[Hello.lrc, 6]   
tried		:	[Hello.lrc, 8]   
tried)		:	[Hello.lrc, 6]   
truth		:	[Hello.lrc, 5]   [Remedy.lrc, 4]   
typical		:	[Hello.lrc, 2]   
us		:	[Hello.lrc, 4]   
used		:	[Hello.lrc, 2]   
wanted		:	[Hello.lrc, 12]   [Remedy.lrc, 3]   
was		:	[Hello.lrc, 1]   
way		:	[Hello.lrc, 7]   [Remedy.lrc, 1]   
we		:	[Hello.lrc, 3]   
well		:	[Hello.lrc, 5]   
were		:	[Hello.lrc, 3]   
whatever		:	[Hello.lrc, 16]   [Remedy.lrc, 6]   
when		:	[Hello.lrc, 6]   [Remedy.lrc, 1]   
where		:	[Hello.lrc, 6]   
who		:	[Hello.lrc, 2]   
wide		:	[Hello.lrc, 6]   [Remedy.lrc, 2]   
will		:	[Hello.lrc, 16]   [Remedy.lrc, 20]   
won't		:	[Hello.lrc, 11]   [Remedy.lrc, 2]   
wondering		:	[Hello.lrc, 1]   
world		:	[Hello.lrc, 3]   [Remedy.lrc, 4]   
ya		:	[Hello.lrc, 3]   
years		:	[Hello.lrc, 1]   
you		:	[Hello.lrc, 16]   [Remedy.lrc, 18]   
you'd		:	[Hello.lrc, 1]   
you're		:	[Hello.lrc, 5]   
younger		:	[Hello.lrc, 3]   
your		:	[Hello.lrc, 6]   [Remedy.lrc, 7]   
